
./streamcluster 50 100 250 10000 1 10000 myin myout 2

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      0.62     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00      0.62     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00      0.62     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)

./streamcluster 2 3 250 5000 1 5000 myin myout 1

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 94.48      0.17     0.17      117     1.45     1.45  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
  5.56      0.18     0.01        1    10.00    10.00  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  0.00      0.18     0.00    11106     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  0.00      0.18     0.00     5001     0.00     0.00  contcenters(Points*)
  0.00      0.18     0.00     5001     0.00     0.00  localSearch(Points*, long, long, long*)
  0.00      0.18     0.00     5001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00      0.18     0.00     5001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00      0.18     0.00     5001     0.00     0.04  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.00      0.18     0.00     5000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.00      0.18     0.00     5000     0.00     0.00  SimStream::feof()
  0.00      0.18     0.00     5000     0.00     0.00  SimStream::read(float*, int, int)
  0.00      0.18     0.00     5000     0.00     0.00  SimStream::ferror()
  0.00      0.18     0.00       12     0.00    14.17  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00      0.18     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00      0.18     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00      0.18     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)


./streamcluster 2 3 30 5000 1 5000 myin myout 1

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.04      0.01     0.01       81     0.12     0.12  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
  0.00      0.01     0.00    10772     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  0.00      0.01     0.00     5001     0.00     0.00  contcenters(Points*)
  0.00      0.01     0.00     5001     0.00     0.00  localSearch(Points*, long, long, long*)
  0.00      0.01     0.00     5001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00      0.01     0.00     5001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00      0.01     0.00     5001     0.00     0.00  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.00      0.01     0.00     5000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.00      0.01     0.00     5000     0.00     0.00  SimStream::feof()
  0.00      0.01     0.00     5000     0.00     0.00  SimStream::read(float*, int, int)
  0.00      0.01     0.00     5000     0.00     0.00  SimStream::ferror()
  0.00      0.01     0.00        8     0.00     1.25  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00      0.01     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00      0.01     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00      0.01     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)
  0.00      0.01     0.00        1     0.00     0.00  pspeedy(Points*, float, long*, int, parsec_barrier_t*)


./streamcluster 10 30 30 5000 1 5000 myin myout 8

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 99.64     12.65    12.65   228543     0.06     0.06  parsec_barrier_wait(parsec_barrier_t*)
  0.32     12.69     0.04    15767     0.00     0.52  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
  0.08     12.70     0.01     5001     0.00     0.00  localSearch(Points*, long, long, long*)
  0.00     12.70     0.00    40001     0.00     0.32  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.00     12.70     0.00     5001     0.00     0.00  contcenters(Points*)
  0.00     12.70     0.00     5001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00     12.70     0.00     5001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00     12.70     0.00     5000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.00     12.70     0.00     5000     0.00     0.00  SimStream::feof()
  0.00     12.70     0.00     5000     0.00     0.00  SimStream::read(float*, int, int)
  0.00     12.70     0.00     5000     0.00     0.00  SimStream::ferror()
